"Abstract product availability","Абстрактна доступність продукту"
Actions,Дії
Availability,Наявність
"Availability information for selected product - store pair does not exist.","Інформація про доступність обраної пари (товар - магазин) відсутня."
Available,Доступно
"Available in stores","Доступно в магазинах"
"Back to product","Повернутися до товару"
"Current Stock","Поточний залишок"
"Edit Stock","Редагувати залишок"
"Is never out of stock","Ніколи не закінчується на складі"
"List of product availability","Список доступності товарів"
n/a,n/a
Name,Ім'я
No,Ні
"Not available","Не доступно"
"Product Availability","Наявність товару"
"Product availability list","Список доступності продуктів"
"Products Availability","Наявність товарів"
"Quantity in Bundle","Кількість у пакеті"
"Reserved Products","Зарезервовані товари"
Save,Зберегти
SKU,Артикул
"Variant availability","Доступність варіанту"
Yes,Так
"Overview of Products Availability","Огляд доступності продуктів"
"Is bundle product","Це пакетний продукт"
Store,Магазин
