"Add Customer Group","Додати групу клієнтів"
"Assigned customers","Призначені клієнти"
"Available customers","Доступні клієнти"
"Back to Customer Groups","Повернутися до Груп клієнтів"
"Customer Groups","Групи клієнтів"
"Customer group was created successfully.","Групу клієнтів було успішно створено."
"Customer group was updated successfully.","Групу клієнтів успішно оновлено."
"De-select all","Скасувати вибір усіх"
"Delete Customer Group","Видалити групу клієнтів"
Description,Опис
"Edit Customer Group","Редагувати групу клієнтів"
"List Customer Groups","Список груп клієнтів"
Save,Зберегти
"Select all","Вибрати все"
"Selected customers to assign","Вибрані клієнти для призначення"
"Selected customers to de-assign","Відмінити вибір обраних клієнтів"
"View Customer Group","Переглянути групу клієнтів"
"Customer groups","Групи клієнтів"
"Add a customer group","Додати групу клієнтів"
Select,Вибрати
