"Table name is not allowed for dynamic entity. Table: %s","Назва таблиці не дозволена для динамічної сутності. Таблиця: %s"
"Table name or table alias is not unique for dynamic entity. Table: %s","Ім'я таблиці або її псевдонім не є унікальним для динамічної сутності. Таблиця: %s"
"Table name is not unique for dynamic entity. Table: %s","Ім'я таблиці не є унікальним для динамічної сутності. Таблиця: %s"
"Table alias is not unique for dynamic entity. Table: %s","Псевдонім таблиці не є унікальним для динамічної сутності. Таблиця: %s"
"Validation rule `isRequired` must be set for boolean field type.","Правило перевірки `isRequired` повинно бути встановлено для типу поля boolean."
"Validation setting `isRequired` must be set for `decimal` field type.","Параметр валідації `isRequired` повинен бути встановлений для поля типу `decimal`."
"Validation setting `scale` must be less than `precision` for `decimal` field type.","Налаштування перевірки `scale` повинно бути меншим за `precision` для поля типу `decimal`."
"Validation setting `isRequired` must be set for `integer` field type.","Параметр валідації `isRequired` повинен бути встановлений для поля типу `integer`."
"Validation setting `min` must be less than `max` for `integer` field type.","Налаштування перевірки `min` повинно бути менше, ніж `max` для поля типу `integer`."
"Validation setting `isRequired` must be set for `string` field type.","Параметр валідації `isRequired` повинен бути встановлений для поля типу `string`."
"Validation setting `minLength` must be less than `maxLength` for `string` field type.","Налаштування перевірки `minLength` повинно бути меншим за `maxLength` для поля типу `string`."
"Field type is not allowed for dynamic entity. Type: %s","Тип поля не дозволений для динамічної сутності. Тип: %s"
"Identifier is required for dynamic entity configuration.","Ідентифікатор необхідний для динамічної конфігурації сутності."
"Identifier is not defined in field definitions.","Ідентифікатор не визначений в означеннях поля."
"Field definition `type` is required for dynamic entity configuration.","Поле визначення `type` обов'язкове для динамічної конфігурації сутності."
"Field definition `fieldName` is required for dynamic entity configuration.","Поле визначення `fieldName` обов'язкове для динамічної конфігурації сутності."
"Field definition `fieldVisibleName` is required for dynamic entity configuration.","Поле визначення `fieldVisibleName` обов'язкове для динамічної конфігурації сутності."
"Field definition `isCreatable` is required for dynamic entity configuration.","Поле визначення `isCreatable` обов'язкове для динамічної конфігурації сутності."
"Field definition `isEditable` is required for dynamic entity configuration.","Поле визначення `isEditable` обов'язкове для динамічної конфігурації сутності."
"Resource name `%s` is not valid. Allowed characters: a-z, A-Z, 0-9, _ and - ","Назва ресурсу `%s` недійсна. Допустимі символи: a-z, A-Z, 0-9, _ та -."
"Dynamic entity configuration for table alias `%s` not found.","Динамічна конфігурація сутності для псевдоніма таблиці `%s` не знайдена."
"Model for table `%s` not found.","Модель для таблиці `%s` не знайдена."
