"Back to Translations","Повернутися до перекладів"
"Create Translation","Створити переклад"
"Edit Translation","Редагувати переклад"
Glossary,Глосарій
"Glossary entry was not updated.","Запис у глосарії не було оновлено."
"Glossary with id %s doesn't exist","Запису словника %s не існує"
"List of translations","Список перекладів"
"Overview of Translations","Огляд перекладів"
Save,Зберегти
"Translation %d was created successfully.","Переклад %d був успішно створений."
"Translation %d was updated successfully.","Переклад %d був успішно оновлений."
"Translation details","Деталі перекладу"
