"Custom CSS class","Спеціальний CSS клас"
"Date ""Valid from"" cannot be later than ""Valid to"".","Дата ""Дійсна з"" не може бути пізніше, ніж ""Дійсна до""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Дата ""Дійсна до"" не може бути раніше, ніж ""Дійсна з""."
"Edit Navigation Element: ","Редагувати навігаційний елемент:"
"External URL","Зовнішнє посилання"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Якщо вузол навігації неактивний, то цей елемент і всі елементи навігації під ним не будуть видимі."
"Incorrect request data.","Некоректні дані запиту."
"Links should start with ""/"".","Посилання повинні починатися з ""/""."
"List of navigation elements","Список навігаційних елементів"
Navigation,Навігація
"Navigation element %d was activated successfully.","Навігаційний елемент %d був успішно активований."
"Navigation element %d was created successfully.","Навігаційний елемент %d був успішно створений."
"Navigation element %d was deactivated successfully.","Навігаційний елемент %d було успішно деактивовано."
"Navigation element %d was deleted successfully.","Навігаційний елемент %d був успішно видалений."
"Navigation element %d was not found.","Елемент навігації %d не знайдено."
"Navigation element %d was updated successfully.","Навігаційний елемент %d був успішно оновлений."
"Navigation element details","Деталі елементу навігації"
"Navigation node ""%s"" was created successfully.","Вузол навігації ""%s"" був успішно створений."
"Navigation node ""%s"" was deleted successfully.","Вузол навігації ""%s"" був успішно видалений."
"Navigation node ""%s"" was updated successfully.","Вузол навігації ""%s"" був успішно оновлений."
"Navigation tree updated successfully.","Дерево навігації успішно оновлено."
"Navigation with id %s doesn't exist","Навігація з id %s не існує"
"Navigation with the same key already exists.","Навігація з таким ключем вже існує."
"This value is not a valid category URL for the given locale.","Це значення не є дійсною URL-адресою категорії для вказаної локалі."
"This value is not a valid CMS page URL for the given locale.","Це значення не є дійсною URL-адресою сторінки CMS для вказаної локалі."
"Type 3 letters to search by category name.","Введіть 3 літери для пошуку за назвою категорії."
"Type 3 letters to search by CMS page name.","Введіть 3 літери для пошуку за назвою сторінки CMS."
"You can drag and drop to define item order.","Ви можете перетягувати та розміщувати товари, щоб визначити їх порядок."
