"Add note","Додати примітку"
"Days left:","Днів залишилося:"
Discontinue,Припинити
Discontinued,Припинено
Restore,Відновити
"Will be deactivated on:","Буде деактивовано на:\n"
"Discontinue Product","Припинити продукт"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","Ви можете припинити продаж продукту на цій вкладці та додати примітку - чому цей продукт більше не продається."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Примітка: Припинені продукти все ще будуть видимі в магазині і матимуть запаси, але їх не буде можливо купити."
"Product has been marked as discontinued.","Продукт було позначено як припинено."
"Product has been unmarked as discontinued.","Товар було відмічено як не припинено."
