"# of Other Labels","# Інших міток"
"# of Products","# Кількість товарів"
Activate,Активувати
Active,Активний
"Applied Products","Застосовані продукти"
"Are you sure you want to delete this product label?","Ви впевнені, що хочете видалити цю мітку продукту?"
"Assigned products","Призначені продукти"
"Available products","Доступні товари"
"Back to Product Labels","Повернутися до міток продукту"
Behavior,Поведінка
Categories,Категорії
"Create a Product Label","Створити мітку продукту"
"Create Product Label","Створити мітку продукту"
"De-select all","Скасувати вибір усіх"
Deactivated,Деактивовано
"Delete Product Label","Видалити мітку продукту"
Delete,Видалити
"Edit Product Label","Редагувати мітку продукту"
Edit,Редагувати
"Front-end Reference","Довідник фронтенду"
General,Загальне
ID,"ID\n###
###Translated Text:
Ідентифікатор"
"Is Active",Активний
"Is Dynamic",Динамічний
"Is Exclusive",Ексклюзивно
"List of Product Labels","Список міток продуктів"
"Missing or wrong request data","Відсутні або невірні дані запиту"
N/A,"###Text:
N/A

###Translation:
Н/Д"
Name,Ім'я
"No, I want to keep this product label","Ні, я хочу залишити цю етикетку продукту"
No,Ні
"Overview of Product Labels","Огляд міток продукту"
"Prioritize Product Labels","Перевага міток продуктів"
Priority,Пріоритет
"Product label #%d successfully updated.","Мітка продукту #%d успішно оновлена."
"Product label #%d was successfully deleted.","Мітка продукту #%d була успішно видалена."
"Product label priority updated successfully.","Пріоритет мітки продукту успішно оновлено."
"Product label removal confirmation","Підтвердження видалення мітки товару"
"Product Labels","Мітки продукту"
"Products Applied to","Продукти, застосовані до"
"Products for this label are assigned dynamically, you can't manage relations manually.","Продукти для цієї мітки призначені для динамічного призначення, ви не можете керувати відносинами вручну."
"Products to which this label applies","Продукти, до яких застосовується ця мітка"
Save,Зберегти
"Select all","Вибрати все"
"Selected products to assign","Вибрані товари для призначення"
"Selected products to de-assign","Вибрані товари для відкріплення"
Settings,Налаштування
Status,Статус
"Store relation","Зв'язок магазину"
Stores,Магазини
Translations,Переклади
"This product has already assigned to the given label","Цей продукт вже призначено вказаній мітці"
"This product has not been assigned to the given label","Цей продукт не було призначено для вказаної мітки"
"Valid from","Дійсно з"
"Valid to","Дійсно до"
Validity,"Термін дії"
"View Product Label","Переглянути етикетку продукту"
View,Переглянути
"Yes, delete this product label","Так, видалити цю мітку продукту"
Yes,Так
"Product label #%d successfully created.","Етикетку продукту #%d успішно створено."
"Number of Products","# Кількість товарів"
